date,open,high,low,close,volume,RSI,CMO,Moving Average,MACD,MACD_signal,ROC,PPO
2018-07-02,49.25,50.165,48.9084,49.92,8299995.0,30.923265058733634,-38.15346988253274,53.04800000000002,-1.054692034700551,-0.5267398374589338,-8.905109489051089,-2.4194341854864967
2018-07-03,49.25,49.53,48.62,48.78,6449474.0,26.657359802585635,-46.68528039482872,52.75350000000003,-1.1971210007775994,-0.660816070122667,-9.297136481963552,-2.922220453372059
2018-07-05,49.1,49.275,48.52,49.26,6335931.0,30.975064551364902,-38.0498708972702,52.50800000000004,-1.2567776437065916,-0.7800083848394519,-8.506686478454695,-3.4435511787957007
2018-07-06,49.34,49.78,49.08,49.58,4903041.0,33.7741574855406,-32.45168502891882,52.314000000000036,-1.263667860887928,-0.8767402800491471,-7.723804206216267,-3.773878233156227
2018-07-09,49.58,50.775,49.3,50.51,7895625.0,41.23286353595361,-17.534272928092776,52.13500000000003,-1.1804773716608992,-0.9374876983714975,-4.191957511380884,-4.052141935169365
2018-07-10,50.6,50.66,49.61,50.6,7366617.0,41.91464764148903,-16.170704717021934,51.92050000000004,-1.0946674171763533,-0.9689236421324686,-1.3837458585071127,-4.280473985502713
2018-07-11,50.14,50.14,48.81,49.84,10426524.0,37.914521486224764,-24.170957027550465,51.68500000000004,-1.0755893341223484,-0.9902567805304445,-2.4084589778734955,-4.362782236017549
2018-07-12,50.9,51.28,49.1201,50.73,12625576.0,44.58416809821378,-10.831663803572447,51.48900000000003,-0.977387538748161,-0.9876829321739878,1.6837041491280846,-4.177516800802289
2018-07-13,50.5,50.99,50.33,50.77,6836510.0,44.87081616815116,-10.258367663697692,51.28250000000004,-0.8861196074578643,-0.9673702672307631,1.947791164658641,-3.9846471279920617
2018-07-16,50.9,50.905,50.09,50.67,8603480.0,44.25450876987945,-11.490982460241119,51.05700000000004,-0.8124923723163775,-0.936394688247886,2.280985062575702,-3.660886319845555
2018-07-17,50.6,51.57,50.6,51.14,5299012.0,47.878076534471994,-4.2438469310560185,50.87400000000004,-0.7080551667517696,-0.8907267839486627,2.4439102564102644,-3.234183717677054
2018-07-18,52.44,53.55,52.38,52.8,10212253.0,58.21024310141998,16.420486202839957,50.82500000000004,-0.48574048812705684,-0.8097295247843415,8.241082410824108,-2.558342507462978
2018-07-19,52.86,53.24,52.43,53.0,6391595.0,59.25813965374669,18.516279307493374,50.78300000000004,-0.2900724010207867,-0.7057981000316305,7.592367032074709,-1.9488982060005333
2018-07-20,52.66,52.885,51.97,51.99,6697670.0,52.146787475235875,4.29357495047175,50.69600000000004,-0.21403532535609315,-0.607445545096523,4.860830980233977,-1.2353094802817493
2018-07-23,51.8,52.38,51.33,52.24,4509459.0,53.63013636455569,7.260272729111391,50.67200000000004,-0.1320799489765605,-0.5123724258725305,3.4250643436943173,-0.5561412297160374
2018-07-24,52.38,52.56,51.57,51.68,4652722.0,49.89887502398717,-0.20224995202564092,50.690500000000036,-0.1110370763261983,-0.43210535596326405,2.134387351778644,0.04585241768461206
2018-07-25,51.26,51.72,51.26,51.66,4711024.0,49.76570588622624,-0.4685882275475171,50.720000000000034,-0.09488055699812037,-0.3646603961702353,3.6516853932584192,0.4691237429715953
2018-07-26,51.66,54.24,51.51,53.98,10322122.0,62.32594426360612,24.651888527212222,50.92450000000004,0.10393016962072466,-0.2709422830120433,6.406465602207767,1.0042197262815638
2018-07-27,53.95,54.77,53.92,54.46,6561206.0,64.31402093874053,28.628041877481046,51.15750000000004,0.29679976831502586,-0.15739387274662947,7.2680716958833935,1.708881830083324
2018-07-30,54.32,54.88,53.75,53.79,5676650.0,59.587272296463865,19.174544592927738,51.37000000000004,0.3910788012713553,-0.047699337943032494,6.157489638839553,2.2021480830701714
2018-07-31,53.93,55.05,53.81,54.42,6048094.0,62.386576758583736,24.77315351716747,51.59500000000004,0.5107438122625396,0.06398929209808193,6.4137661321861605,2.664931792445327
2018-08-01,54.79,54.87,53.39,53.59,4203391.0,56.80401856692702,13.608037133854037,51.83550000000004,0.5324671819876841,0.15768487007600238,1.496212121212137,2.963342841385521
2018-08-02,53.21,54.1,52.935,53.91,4483603.0,58.35140583342016,16.7028116668403,52.06800000000004,0.5689459795559557,0.23993709197199303,1.7169811320754569,3.1932563843963315
2018-08-03,54.16,54.4401,54.01,54.26,3147293.0,60.0376089495447,20.07521789908941,52.30200000000004,0.6189627471145087,0.31574222300049615,4.366224273898811,3.0930112491191193
2018-08-06,54.1,54.53,53.84,54.42,3122279.0,60.818564835154355,21.637129670308703,52.497500000000045,0.663859499508078,0.3853656783020125,4.1730474732006195,2.967877267712797
2018-08-07,54.6,55.085,54.52,54.7,4425276.0,62.21034516484287,24.420690329685737,52.70250000000004,0.7138058496795878,0.4510537125775276,5.843653250774006,3.009166851482498
2018-08-08,54.87,55.55,54.85,55.23,3562361.0,64.76190248623111,29.5238049724622,52.97200000000004,0.7870822681936858,0.5182594237007592,6.910569105691056,3.0834333571429604
2018-08-09,55.21,55.72,55.125,55.34,2890412.0,65.28579373356006,30.571587467120096,53.20250000000003,0.8442978978763094,0.5834671185358692,2.519451648758819,3.169008063590537
2018-08-10,54.78,54.83,53.85,54.71,4204461.0,59.802048172773645,19.60409634554729,53.39950000000003,0.8292469194467245,0.6326230787180402,0.45905251560778293,3.2409502537678776
2018-08-13,54.88,54.88,53.76,54.22,3896583.0,55.871195342870415,11.742390685740833,53.577000000000034,0.7689164158970883,0.6598817461538499,0.7994050938836317,2.9303003409330817
2018-08-14,54.26,55.06,54.255,54.76,3460170.0,59.064587538601074,18.129175077202156,53.75800000000004,0.7559632701998282,0.6790980509630455,0.6247703050349163,2.6601929543386165
2018-08-15,54.8,55.55,54.36,55.23,4896590.0,61.66484359702537,23.329687194050734,53.87950000000004,0.7746927056769053,0.6982169819058175,3.0602724388878455,2.5421503293486682
2018-08-16,55.33,55.8,55.22,55.45,3366092.0,62.85426409646959,25.708528192939177,54.002000000000045,0.7980882154589253,0.718191228616439,2.856612873307385,2.28868972633174
